Document,Gemini,GPT,Summary_Vietnamese,Summary_English
[168]_139_CD-TTg_m_670039.doc,Thủ tướng Chính phủ yêu cầu các Bộ,"Thủ tướng Chính phủ ban hành Công điện tăng cường công tác bảo đảm an ninh, trật tự và phòng cháy, chữa cháy dịp Lễ Quốc khánh 02/9/2025. Nội dung chính gồm chỉ đạo các Bộ, ngành và UBND các tỉnh, thành phố nắm chắc tình hình, phòng ngừa, ứng phó kịp thời với các tình huống phức tạp, bảo vệ an toàn cho người dân, doanh nghiệp, các sự kiện quan trọng và đoàn khách quốc tế, đồng thời tăng cường tuyên truyền và xử lý nghiêm các hành vi vi phạm.","Thủ tướng Chính phủ ban hành Công điện tăng cường công tác bảo đảm an ninh, trật tự và phòng cháy chữa cháy dịp Lễ Quốc khánh 02/9/2025, chỉ đạo các Bộ, ngành và UBND các tỉnh, thành phố nắm chắc tình hình, phòng ngừa và ứng phó kịp thời với các tình huống phức tạp, bảo vệ an toàn người dân, doanh nghiệp, các sự kiện quan trọng và đoàn khách quốc tế, đồng thời tăng cường tuyên truyền và xử lý nghiêm các hành vi vi phạm.","The Prime Minister issued a Directive to strengthen security, public order, and fire prevention during the National Day holiday on September 2, 2025, directing ministries, sectors, and provincial/city People's Committees to monitor situations, prevent and promptly respond to complex incidents, ensure the safety of citizens, businesses, key events, and international delegations, while also enhancing communication and strictly handling violations."
[169]_102_QD-TTg_m_640032.doc,Quyết định điều chỉnh chủ trương đầu tư dự án Khu công nghiệp Sóng Thần III,"Quyết định điều chỉnh chủ trương đầu tư dự án đầu tư kinh doanh cơ sở hạ tầng Khu công nghiệp Sóng Thần III, tỉnh Bình Dương với quy mô sử dụng đất 428,027 ha; giao UBND tỉnh Bình Dương rà soát điều chỉnh tổng vốn đầu tư và tổ chức quản lý, giám sát thực hiện dự án; quy định trách nhiệm của các bộ liên quan, UBND tỉnh Bình Dương và Công ty cổ phần Đại Nam trong việc thực hiện, giám sát, tuân thủ quy định pháp luật và điều chỉnh các nội dung liên quan.","Quyết định điều chỉnh chủ trương đầu tư dự án Khu công nghiệp Sóng Thần III, tỉnh Bình Dương, quy mô sử dụng đất 428,027 ha; giao UBND tỉnh rà soát, điều chỉnh tổng vốn đầu tư, tổ chức quản lý, giám sát thực hiện dự án và quy định trách nhiệm của các bộ liên quan, UBND tỉnh và Công ty cổ phần Đại Nam trong việc thực hiện, giám sát, tuân thủ pháp luật và điều chỉnh các nội dung liên quan.","The decision adjusts the investment policy for the Song Than III Industrial Park project in Binh Duong province, covering 428.027 ha; it assigns the Provincial People's Committee to review and adjust total investment, manage and supervise project implementation, and stipulates the responsibilities of relevant ministries, the provincial committee, and Dai Nam Joint Stock Company in executing, supervising, complying with the law, and making related adjustments."
[170]_58_CD-TTg_m_655926.doc,Công điện chỉ đạo các Bộ,"Công điện chỉ đạo các Bộ, cơ quan, địa phương tổ chức Kỳ thi tốt nghiệp trung học phổ thông và tuyển sinh đầu cấp giáo dục phổ thông năm 2025 theo Chương trình 2018, đảm bảo an toàn, nghiêm túc, khách quan và đồng thuận xã hội. Văn bản yêu cầu phân công trách nhiệm rõ ràng, kiểm soát gian lận, bảo đảm an ninh, vệ sinh, truyền thông, hỗ trợ thí sinh và giám sát toàn bộ quá trình tổ chức.","Công điện chỉ đạo các bộ, cơ quan và địa phương tổ chức Kỳ thi tốt nghiệp trung học phổ thông và tuyển sinh đầu cấp giáo dục phổ thông năm 2025 theo Chương trình 2018, đảm bảo an toàn, nghiêm túc, khách quan và đồng thuận xã hội; phân công trách nhiệm rõ ràng, kiểm soát gian lận, bảo đảm an ninh, vệ sinh, truyền thông, hỗ trợ thí sinh và giám sát toàn bộ quá trình tổ chức.","The urgent dispatch directs ministries, agencies, and localities to organize the 2025 high school graduation exam and entrance exams for general education under the 2018 Program, ensuring safety, rigor, objectivity, and social consensus; with clear assignment of responsibilities, fraud control, security, hygiene, communication, student support, and supervision of the entire process."
[171]_96_2025_ND-CP_m_655148.doc,Nghị định sửa đổi,"Nghị định sửa đổi, bổ sung một số điều của Nghị định 82/2010/NĐ-CP, quy định việc dạy và học tiếng nói, chữ viết của dân tộc thiểu số trong cơ sở giáo dục phổ thông và trung tâm giáo dục thường xuyên, bao gồm phạm vi điều chỉnh, tổ chức in ấn, phát hành, chuyển giao sách giáo khoa, chế độ cho giáo viên và người học, quản lý và chỉ đạo việc dạy học tiếng dân tộc thiểu số.","Nghị định sửa đổi, bổ sung một số điều của Nghị định 82/2010/NĐ-CP quy định việc dạy và học tiếng nói, chữ viết của dân tộc thiểu số trong cơ sở giáo dục phổ thông và trung tâm giáo dục thường xuyên, bao gồm phạm vi điều chỉnh, tổ chức in ấn, phát hành, chuyển giao sách giáo khoa, chế độ cho giáo viên và người học, quản lý và chỉ đạo việc dạy học tiếng dân tộc thiểu số.","The decree amends and supplements certain provisions of Decree 82/2010/ND-CP, regulating the teaching and learning of minority languages and scripts in general education institutions and continuing education centers, including the scope of regulation, textbook printing, distribution, transfer, benefits for teachers and learners, and the management and guidance of minority language instruction."
[172]_137_QD-TTg_m_690126.doc,Quyết định ban hành danh mục bí mật nhà nước trong lĩnh vực khoa học và công nghệ,"Quyết định ban hành danh mục bí mật nhà nước trong lĩnh vực khoa học và công nghệ, phân loại các bí mật thành Tuyệt mật, Tối mật và Mật, liên quan đến nhiệm vụ, chương trình khoa học công nghệ, sáng chế, năng lượng nguyên tử, viễn thông phục vụ quốc phòng, an ninh. Quy định trách nhiệm tổ chức thực hiện và hiệu lực thi hành, thay thế các quyết định trước liên quan.","Quyết định ban hành danh mục bí mật nhà nước trong lĩnh vực khoa học và công nghệ, phân loại thành Tuyệt mật, Tối mật và Mật, liên quan đến nhiệm vụ, chương trình khoa học công nghệ, sáng chế, năng lượng nguyên tử, viễn thông phục vụ quốc phòng, an ninh, quy định trách nhiệm tổ chức thực hiện và hiệu lực thi hành, thay thế các quyết định trước.","The decision issues the list of state secrets in the field of science and technology, classified as Top Secret, Secret, and Confidential, concerning tasks, science and technology programs, inventions, nuclear energy, and telecommunications for national defense and security, stipulating responsibilities for implementation and replacing previous related decisions."
[173]_304_2025_ND-CP_m_681932.doc,Nghị định quy định chi tiết điều kiện thu giữ tài sản bảo đảm là chỗ ở duy nhất hoặc công cụ lao động chủ yếu/duy nhất của khoản nợ xấu. Theo đó,"Nghị định quy định điều kiện tài sản bảo đảm của khoản nợ xấu được thu giữ, bao gồm chỗ ở duy nhất, công cụ lao động chủ yếu hoặc duy nhất và các loại tài sản khác, xác định quyền và trách nhiệm của bên bảo đảm, tổ chức tín dụng, chi nhánh ngân hàng nước ngoài, và tổ chức mua bán, xử lý nợ. Nghị định cũng quy định việc trích khoản tiền cho bên bảo đảm, hiệu lực thi hành và điều khoản chuyển tiếp đối với hợp đồng bảo đảm trước đó.","Nghị định quy định chi tiết điều kiện thu giữ tài sản bảo đảm của khoản nợ xấu, bao gồm chỗ ở duy nhất, công cụ lao động chủ yếu hoặc duy nhất và các loại tài sản khác, đồng thời xác định quyền và trách nhiệm của bên bảo đảm, tổ chức tín dụng, chi nhánh ngân hàng nước ngoài, và tổ chức mua bán, xử lý nợ, cùng việc trích khoản tiền cho bên bảo đảm, hiệu lực thi hành và điều khoản chuyển tiếp đối với hợp đồng bảo đảm trước đó.","The decree provides detailed regulations on the conditions for seizing collateral of non-performing loans, including the sole residence, primary or sole work tools, and other assets, defining the rights and responsibilities of the guarantor, credit institutions, foreign bank branches, and debt trading and handling organizations, as well as provisions for allocation to the guarantor, enforcement, and transitional clauses for prior guarantee contracts."
[174]_148_2025_NQ-HDND_m_663643.doc,Nghị quyết quy định thẩm quyền phê duyệt nhiệm vụ và dự toán kinh phí cho việc mua sắm,"Nghị quyết quy định thẩm quyền quyết định phê duyệt nhiệm vụ và dự toán kinh phí liên quan đến mua sắm, sửa chữa, cải tạo, nâng cấp tài sản, trang thiết bị; thuê hàng hóa, dịch vụ; sửa chữa, cải tạo, nâng cấp, mở rộng, xây dựng mới hạng mục công trình trong các dự án đã đầu tư xây dựng của cơ quan, đơn vị thuộc phạm vi quản lý của tỉnh Hà Tĩnh. Nghị quyết cũng quy định tổ chức thực hiện và giám sát việc thực hiện.","Nghị quyết quy định thẩm quyền quyết định phê duyệt nhiệm vụ và dự toán kinh phí liên quan đến mua sắm, sửa chữa, cải tạo, nâng cấp tài sản, trang thiết bị; thuê hàng hóa, dịch vụ; và xây dựng, sửa chữa, cải tạo, nâng cấp, mở rộng các hạng mục công trình trong các dự án đã đầu tư xây dựng của các cơ quan, đơn vị thuộc quản lý của tỉnh Hà Tĩnh, đồng thời hướng dẫn tổ chức thực hiện và giám sát việc thực hiện.","The resolution stipulates the authority to approve tasks and budget estimates related to procurement, repair, renovation, upgrading of assets and equipment; leasing goods and services; and construction, repair, renovation, upgrading, and expansion of project items already invested by agencies and units under the management of Ha Tinh province, while also providing guidance on implementation and supervision."
[175]_72_QD-TTg_m_639613.doc,Quyết định thành lập Ban Chỉ đạo xây dựng nhà máy điện hạt nhân do Thủ tướng Chính phủ làm Trưởng ban nhằm chỉ đạo,"Quyết định thành lập Ban Chỉ đạo xây dựng nhà máy điện hạt nhân nhằm giúp Thủ tướng Chính phủ nghiên cứu, chỉ đạo, phối hợp giải quyết các công việc quan trọng liên quan đến dự án điện hạt nhân Ninh Thuận, bao gồm thực hiện chủ trương đầu tư, giải quyết vướng mắc, hoàn thiện pháp luật, nghiên cứu phát triển điện hạt nhân, và hợp tác quốc tế. Quyết định cũng quy định thành phần, nhiệm vụ, tổ giúp việc, cơ quan thường trực và kinh phí hoạt động của Ban Chỉ đạo.","Quyết định thành lập Ban Chỉ đạo xây dựng nhà máy điện hạt nhân do Thủ tướng Chính phủ làm Trưởng ban, nhằm nghiên cứu, chỉ đạo, phối hợp giải quyết các công việc quan trọng liên quan đến dự án điện hạt nhân Ninh Thuận, bao gồm thực hiện chủ trương đầu tư, giải quyết vướng mắc, hoàn thiện pháp luật, nghiên cứu phát triển điện hạt nhân, hợp tác quốc tế, đồng thời quy định thành phần, nhiệm vụ, tổ giúp việc, cơ quan thường trực và kinh phí hoạt động của Ban Chỉ đạo.","The Decision establishes the Steering Committee for the construction of the nuclear power plant, chaired by the Prime Minister, to study, direct, and coordinate key tasks related to the Ninh Thuan nuclear power project, including implementing investment policies, resolving obstacles, improving legislation, researching nuclear power development, and international cooperation, while specifying the Committee's composition, duties, supporting team, standing agency, and operational budget."
[176]_39_2025_NQ-HDND_m_675201.doc,Nghị quyết quy định về tên,"Nghị quyết quy định tên, đối tượng và tiêu chuẩn tặng Kỷ niệm chương 'Vì sự nghiệp xây dựng và phát triển Thành phố Hồ Chí Minh', áp dụng cho cán bộ, công chức, viên chức, người lao động, đại biểu Quốc hội, đại biểu HĐND và các cá nhân có đóng góp trực tiếp cho sự phát triển thành phố. Nghị quyết cũng quy định cơ quan tổ chức thực hiện và giám sát việc tặng Kỷ niệm chương.","Nghị quyết quy định tên, đối tượng, tiêu chuẩn tặng Kỷ niệm chương ""Vì sự nghiệp xây dựng và phát triển Thành phố Hồ Chí Minh"", áp dụng cho cán bộ, công chức, viên chức, người lao động, đại biểu Quốc hội, đại biểu HĐND và các cá nhân có đóng góp trực tiếp cho sự phát triển thành phố, đồng thời quy định cơ quan tổ chức thực hiện và giám sát việc tặng Kỷ niệm chương.","The resolution stipulates the name, eligible recipients, and criteria for awarding the ""For the Cause of Building and Developing Ho Chi Minh City"" commemorative medal, applicable to officials, civil servants, public employees, workers, National Assembly delegates, People's Council delegates, and individuals directly contributing to the city's development, and also defines the agencies responsible for implementation and supervision of the award."
[177]_82_CD-TTg_m_659784.doc,Công điện yêu cầu các bộ,"Công điện yêu cầu các bộ, ngành, địa phương tiếp tục đẩy mạnh cao điểm đấu tranh ngăn chặn, đẩy lùi buôn lậu, gian lận thương mại, hàng giả và xâm phạm quyền sở hữu trí tuệ; tăng cường phối hợp, xử lý nghiêm vi phạm, hoàn thiện pháp luật, tuyên truyền nâng cao nhận thức và báo cáo kết quả thực hiện.","Công điện yêu cầu các bộ, ngành và địa phương tiếp tục đẩy mạnh cao điểm đấu tranh chống buôn lậu, gian lận thương mại, hàng giả và xâm phạm quyền sở hữu trí tuệ; tăng cường phối hợp, xử lý nghiêm vi phạm, hoàn thiện pháp luật, tuyên truyền nâng cao nhận thức và báo cáo kết quả thực hiện.","The urgent dispatch requires ministries, sectors, and localities to intensify efforts to combat smuggling, trade fraud, counterfeit goods, and intellectual property infringement; enhance coordination, strictly handle violations, improve legislation, raise public awareness, and report on implementation results."
[178]_109_CD-TTg_m_665612.doc,Thủ tướng yêu cầu các Bộ,"Công điện yêu cầu các bộ, ngành, địa phương triển khai quyết liệt, đồng bộ các biện pháp phòng, chống bệnh Dịch tả lợn Châu Phi; chỉ đạo phát hiện, xử lý ổ dịch, kiểm soát vận chuyển lợn, đảm bảo an toàn thực phẩm, hỗ trợ người chăn nuôi và tăng cường tuyên truyền, giám sát để ngăn chặn dịch bệnh lây lan.","Công điện của Thủ tướng yêu cầu các bộ, ngành và địa phương triển khai đồng bộ, quyết liệt các biện pháp phòng, chống bệnh Dịch tả lợn Châu Phi, bao gồm phát hiện, xử lý ổ dịch, kiểm soát vận chuyển lợn, đảm bảo an toàn thực phẩm, hỗ trợ người chăn nuôi, tăng cường tuyên truyền và giám sát để ngăn chặn dịch bệnh lây lan.","The Prime Minister's dispatch instructs ministries, sectors, and localities to implement coordinated and decisive measures to prevent and control African swine fever, including detecting and handling outbreaks, controlling pig transport, ensuring food safety, supporting farmers, and enhancing communication and supervision to prevent disease spread."
[179]_747_QD-TTg_m_651606.doc,Quyết định giao Đài Truyền hình Việt Nam thực hiện cung ứng dịch vụ truyền hình đối ngoại quốc gia giai đoạn 2025-2030 bằng tiếng Anh và các ngôn ngữ phổ biến trên đa nền tảng. Nhiệm vụ chính bao gồm sản xuất nội dung số,"Quyết định giao Đài Truyền hình Việt Nam thực hiện cung ứng dịch vụ truyền hình đối ngoại quốc gia giai đoạn 2025-2030 nhằm thông tin, tuyên truyền đối ngoại, quảng bá hình ảnh Việt Nam ra thế giới; quy định nhiệm vụ, mục tiêu, phương thức thực hiện, tổ chức triển khai, bố trí kinh phí và trách nhiệm các bên liên quan.","Quyết định giao Đài Truyền hình Việt Nam thực hiện cung ứng dịch vụ truyền hình đối ngoại quốc gia giai đoạn 2025-2030, bằng tiếng Anh và các ngôn ngữ phổ biến trên đa nền tảng, nhằm thông tin, tuyên truyền đối ngoại, quảng bá hình ảnh Việt Nam; quy định nhiệm vụ, mục tiêu, phương thức thực hiện, tổ chức triển khai, bố trí kinh phí và trách nhiệm các bên liên quan.","The decision assigns Vietnam Television to provide national foreign broadcasting services for 2025-2030, in English and popular languages across multiple platforms, to inform, promote foreign relations, and showcase Vietnam; it specifies tasks, objectives, implementation methods, organizational deployment, budget allocation, and responsibilities of involved parties."
[180]_45_2025_NQ-HDND_m_676742.doc,Nghị quyết quy định 05 tiêu chí cụ thể để quyết định đấu thầu lựa chọn nhà đầu tư thực hiện dự án đầu tư có sử dụng đất (khu đô thị,"Nghị quyết quy định các tiêu chí để quyết định đấu thầu lựa chọn nhà đầu tư thực hiện dự án đầu tư có sử dụng đất thuộc trường hợp quy định tại khoản 27 Điều 79 Luật Đất đai trên địa bàn Thành phố Hồ Chí Minh, bao gồm dự án khu đô thị, khu dân cư nông thôn, nhằm đảm bảo phù hợp quy hoạch, mục tiêu phát triển đô thị và nhà ở.","Nghị quyết quy định 05 tiêu chí để lựa chọn nhà đầu tư thực hiện dự án đầu tư có sử dụng đất trên địa bàn Thành phố Hồ Chí Minh, bao gồm khu đô thị và khu dân cư nông thôn, nhằm đảm bảo phù hợp với quy hoạch, mục tiêu phát triển đô thị và nhà ở.","The resolution sets out five criteria for selecting investors to carry out land-use investment projects in Ho Chi Minh City, including urban and rural residential areas, to ensure alignment with planning and urban and housing development goals."
[181]_43_2025_NQ-HDND_m_675468.doc,Nghị quyết quy định mức thu,"Hội đồng nhân dân Thành phố Hồ Chí Minh ban hành Nghị quyết quy định mức thu, quản lý và sử dụng phí thẩm định cấp giấy chứng nhận đủ điều kiện kinh doanh hoạt động thể thao cho cơ sở thể thao và câu lạc bộ thể thao chuyên nghiệp trên địa bàn Thành phố. Nghị quyết xác định mức phí cụ thể cho cấp mới, cấp lại giấy chứng nhận và hướng dẫn việc nộp vào ngân sách nhà nước, đồng thời giao Ủy ban nhân dân Thành phố tổ chức thực hiện và Hội đồng nhân dân giám sát.","Hội đồng nhân dân Thành phố Hồ Chí Minh ban hành Nghị quyết quy định mức thu, quản lý và sử dụng phí thẩm định cấp giấy chứng nhận đủ điều kiện kinh doanh hoạt động thể thao cho cơ sở và câu lạc bộ thể thao chuyên nghiệp; Nghị quyết xác định mức phí cấp mới, cấp lại, hướng dẫn nộp vào ngân sách nhà nước, giao Ủy ban nhân dân Thành phố tổ chức thực hiện và Hội đồng nhân dân giám sát.","The Ho Chi Minh City People's Council issued a resolution regulating the collection, management, and use of appraisal fees for granting certificates of eligibility for sports business activities to professional sports facilities and clubs; the resolution specifies fees for new issuance and reissuance, guides payment to the state budget, and assigns the City People's Committee to implement and the Council to supervise."
[182]_107_2025_UBTVQH15_m_678685.doc,Nghị quyết hướng dẫn xác định dự kiến cơ cấu,"Ủy ban Thường vụ Quốc hội ban hành Nghị quyết hướng dẫn việc xác định dự kiến cơ cấu, thành phần và phân bổ số lượng người được giới thiệu ứng cử đại biểu Hội đồng nhân dân các cấp nhiệm kỳ 2026 - 2031. Nghị quyết quy định căn cứ xác định số lượng đại biểu, cơ cấu thành phần theo các tổ chức chính trị, xã hội, đơn vị hành chính, cơ quan, tổ chức sự nghiệp, tổ chức kinh tế; đồng thời đảm bảo các tiêu chí về dân tộc, giới tính, độ tuổi, tái cử và phẩm chất đại biểu.","Ủy ban Thường vụ Quốc hội ban hành Nghị quyết hướng dẫn xác định dự kiến cơ cấu, thành phần và phân bổ số lượng người được giới thiệu ứng cử đại biểu Hội đồng nhân dân các cấp nhiệm kỳ 2026-2031, dựa trên các tổ chức chính trị, xã hội, đơn vị hành chính, cơ quan, tổ chức sự nghiệp, tổ chức kinh tế, đồng thời đảm bảo các tiêu chí về dân tộc, giới tính, độ tuổi, tái cử và phẩm chất đại biểu.","The Standing Committee of the National Assembly issued a resolution guiding the determination of the projected structure, composition, and allocation of candidates for People's Council deputies at all levels for the 2026-2031 term, based on political and social organizations, administrative units, agencies, public service organizations, and economic organizations, while ensuring criteria for ethnicity, gender, age, re-election, and deputy qualifications."
[183]_203_2025_QH15_m_655275.doc,Nghị quyết sửa đổi Hiến pháp tập trung vào việc tái cấu trúc hệ thống chính trị và đơn vị hành chính. Nội dung chính bao gồm: khẳng định vai trò của Mặt trận Tổ quốc và các tổ chức chính trị - xã hội; quy định quyền trình dự án luật của các cơ quan trung ương; đặc biệt là cải cách hành chính bằng cách kết thúc hoạt động của cấp huyện từ 01/7/2025 và tổ chức lại chính quyền địa phương theo hai cấp. Nghị quyết cũng quy định quy trình chỉ định cán bộ lãnh đạo thay vì bầu cử tại các đơn vị hành chính mới sau sắp xếp để đảm bảo kiện toàn bộ máy.,"Quốc hội ban hành Nghị quyết sửa đổi, bổ sung một số điều của Hiến pháp, quy định về Mặt trận Tổ quốc Việt Nam, các tổ chức chính trị - xã hội, quyền trình dự án luật và pháp lệnh, tổ chức đơn vị hành chính, chính quyền địa phương, đồng thời hướng dẫn việc kiện toàn, chỉ định cán bộ tại các đơn vị hành chính sau sắp xếp. Nghị quyết xác định phạm vi, cơ cấu tổ chức và thẩm quyền thực hiện để đảm bảo pháp luật được thi hành đúng quy định.","Nghị quyết của Quốc hội sửa đổi, bổ sung Hiến pháp tập trung tái cấu trúc hệ thống chính trị và đơn vị hành chính, khẳng định vai trò của Mặt trận Tổ quốc và các tổ chức chính trị - xã hội, quy định quyền trình dự án luật của các cơ quan trung ương, kết thúc hoạt động cấp huyện từ 01/7/2025, tổ chức lại chính quyền địa phương theo hai cấp, và hướng dẫn quy trình kiện toàn, chỉ định cán bộ lãnh đạo tại các đơn vị hành chính sau sắp xếp để đảm bảo thi hành pháp luật.","The National Assembly's resolution amending the Constitution focuses on restructuring the political system and administrative units, affirms the role of the Vietnam Fatherland Front and socio-political organizations, regulates the right of central agencies to submit draft laws, terminates district-level operations from July 1, 2025, reorganizes local government into two levels, and provides guidance on the appointment of leadership personnel in newly arranged administrative units to ensure law enforcement."
[184]_09_CD-TTg_m_641828.doc,Thủ tướng Chính phủ yêu cầu các bộ,"Thủ tướng Chính phủ ban hành Công điện yêu cầu các bộ, cơ quan, địa phương và cơ quan liên quan đảm bảo tổ chức các hoạt động lễ hội sau Tết Nguyên đán Ất Tỵ và lễ hội xuân năm 2025 an toàn, văn minh, tiết kiệm, phù hợp truyền thống; tăng cường quản lý, thanh tra, kiểm tra, tuyên truyền, bảo đảm an ninh, an toàn, vệ sinh thực phẩm, chống lãng phí và xử lý vi phạm.","Thủ tướng Chính phủ ban hành Công điện yêu cầu các bộ, cơ quan, địa phương và cơ quan liên quan tổ chức các lễ hội sau Tết Nguyên đán Ất Tỵ và lễ hội xuân 2025 an toàn, văn minh, tiết kiệm, phù hợp truyền thống; đồng thời tăng cường quản lý, thanh tra, kiểm tra, tuyên truyền, bảo đảm an ninh, an toàn, vệ sinh thực phẩm, chống lãng phí và xử lý vi phạm.","The Prime Minister issued a Directive requiring ministries, agencies, localities, and relevant bodies to organize post-Tet and 2025 spring festivals safely, civilly, economically, and in accordance with tradition; while strengthening management, inspection, publicity, ensuring security, safety, food hygiene, preventing waste, and handling violations."
[185]_166_2025_ND-CP_m_662962.doc,Nghị định sửa đổi cơ cấu tổ chức và nhiệm vụ của Bộ Tài chính tại Nghị định 29/2025/NĐ-CP. Nội dung chính bao gồm: điều chỉnh nhiệm vụ về mua sắm tập trung và thị trường chứng khoán; thiết lập cơ cấu tổ chức gồm 34 đơn vị (trong đó bổ sung Bảo hiểm xã hội Việt Nam là đơn vị đặc thù); quy định mô hình tổ chức theo cấp cho các Tổng cục và tương đương; đồng thời ấn định thời hạn kiện toàn các đơn vị sự nghiệp và cơ quan địa phương.,"Nghị định sửa đổi, bổ sung một số điều của Nghị định 29/2025/NĐ-CP về chức năng, nhiệm vụ, quyền hạn và cơ cấu tổ chức của Bộ Tài chính, bao gồm bãi bỏ, sửa đổi nhiệm vụ, điều chỉnh cơ cấu tổ chức các vụ, cục, đơn vị sự nghiệp và quy định chuyển tiếp kiện toàn tổ chức. Bộ trưởng Bộ Tài chính chịu trách nhiệm tổ chức, sắp xếp và trình Thủ tướng Chính phủ phê duyệt các đơn vị sự nghiệp công lập.","Nghị định sửa đổi, bổ sung một số điều của Nghị định 29/2025/NĐ-CP về chức năng, nhiệm vụ, quyền hạn và cơ cấu tổ chức của Bộ Tài chính, bao gồm điều chỉnh nhiệm vụ về mua sắm tập trung và thị trường chứng khoán, thiết lập cơ cấu 34 đơn vị (trong đó có Bảo hiểm xã hội Việt Nam), quy định mô hình tổ chức theo cấp cho các Tổng cục và tương đương, bãi bỏ, sửa đổi nhiệm vụ, và ấn định thời hạn kiện toàn các đơn vị sự nghiệp; Bộ trưởng Bộ Tài chính chịu trách nhiệm tổ chức, sắp xếp và trình Thủ tướng phê duyệt các đơn vị sự nghiệp công lập.","The decree amends and supplements certain provisions of Decree 29/2025/ND-CP on the functions, tasks, powers, and organizational structure of the Ministry of Finance, including adjustments to centralized procurement and the securities market, establishing 34 units (including Vietnam Social Security), specifying hierarchical organizational models for General Departments and equivalents, abolishing and modifying tasks, and setting deadlines for the completion of public service units; the Minister of Finance is responsible for organizing, arranging, and submitting public service units for Prime Minister approval."
[186]_84_CD-TTg_m_660290.doc,Thủ tướng Chính phủ yêu cầu các Bộ,"Thủ tướng Chính phủ yêu cầu tập trung lãnh đạo, chỉ đạo và triển khai hoàn thành mục tiêu xóa nhà tạm, nhà dột nát trên phạm vi cả nước trước ngày 31/8/2025, ưu tiên nhà ở cho người có công với cách mạng và thân nhân liệt sỹ. Các bộ, cơ quan, địa phương, Mặt trận Tổ quốc và các lực lượng liên quan được phân công theo dõi, huy động lực lượng, bố trí kinh phí và giải quyết khó khăn để đảm bảo hoàn thành mục tiêu.","Thủ tướng Chính phủ yêu cầu tập trung lãnh đạo, chỉ đạo và triển khai hoàn thành mục tiêu xóa nhà tạm, nhà dột nát trên toàn quốc trước ngày 31/8/2025, ưu tiên nhà ở cho người có công với cách mạng và thân nhân liệt sỹ, đồng thời phân công các bộ, cơ quan, địa phương, Mặt trận Tổ quốc và các lực lượng liên quan theo dõi, huy động lực lượng, bố trí kinh phí và giải quyết khó khăn để đảm bảo hoàn thành mục tiêu.","The Prime Minister directs focused leadership, guidance, and implementation to eliminate temporary and dilapidated houses nationwide by August 31, 2025, prioritizing housing for revolution contributors and relatives of martyrs, assigning ministries, agencies, localities, the Fatherland Front, and related forces to monitor, mobilize resources, allocate funding, and address obstacles to ensure the goal is achieved."
[187]_58_2025_NQ-HDND_m_684190.doc,"Nghị quyết quy định mức hỗ trợ tiền ăn hàng ngày (85.000 - 170.000 đồng) và tiền ăn thêm các ngày lễ, tết (255.000 đồng) cho người bệnh phong, tâm thần, HIV/AIDS, lao kháng thuốc tại các Bệnh viện: Nhân Ái, Tâm thần, Sức khỏe Tâm thần Bà Rịa - Vũng Tàu và Bến Sắn từ nguồn ngân sách nhà nước. Văn bản bãi bỏ các quy định cũ liên quan tại Nghị quyết 19/2023/NQ-HĐND (Bà Rịa - Vũng Tàu), Nghị quyết 06/2009/NQ-HĐND và Nghị quyết 31/2013/NQ-HĐND (TP.HCM).","Hội đồng nhân dân Thành phố Hồ Chí Minh quy định mức hỗ trợ tiền ăn hàng ngày và tiền ăn thêm các ngày lễ, tết cho người bệnh phong, tâm thần, HIV/AIDS, lao kháng thuốc tại các bệnh viện trực thuộc Sở Y tế Thành phố, đồng thời bãi bỏ một số nghị quyết cũ. Nghị quyết giao UBND Thành phố tổ chức thực hiện và Hội đồng nhân dân giám sát quá trình triển khai.","Hội đồng nhân dân Thành phố Hồ Chí Minh quy định mức hỗ trợ tiền ăn hàng ngày (85.000 - 170.000 đồng) và tiền ăn thêm các ngày lễ, tết (255.000 đồng) cho người bệnh phong, tâm thần, HIV/AIDS, lao kháng thuốc tại các bệnh viện trực thuộc Sở Y tế, đồng thời bãi bỏ các nghị quyết cũ liên quan; UBND Thành phố chịu trách nhiệm tổ chức thực hiện và HĐND giám sát.","The Ho Chi Minh City People's Council stipulates daily meal allowances (85,000 - 170,000 VND) and additional meal allowances on holidays and Tet (255,000 VND) for patients with leprosy, mental illness, HIV/AIDS, and drug-resistant tuberculosis at hospitals under the Department of Health, while repealing related old resolutions; the City People's Committee is responsible for implementation and the Council for oversight."
